what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271245362977
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245380339
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245382087
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271245406407
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271245408685
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245425813
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245427670
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271245430930
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271245434222
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245441897
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245442864
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271245446593
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271245450711
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271245468979
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271245471958
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1271245491396
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245494141
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245495779
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245495842
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1271245525716
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245534155
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1271245540286
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245542735
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245545325
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245545403
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245549475
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1271245552127
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245553281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245554404
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245554467
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271245555730
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271245589582
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1271245590690
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1271245590971
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1271245591205
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1271245591657
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1271245592624
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1271245592905
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271245599051
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271245600159
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271245610283
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271245613840
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271245621749
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271245623372
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271245636351
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271245638566
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271245641639
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271245644120
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271245655055
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271245662543
